,epoch,num_frames_all,strehl_mean_all,strehl_mean_combo,strehl_std_all,strehl_med_all,strehl_mad_all,fwhm_mean_all,fwhm_std_all,fwhm_med_all,fwhm_mad_all,num_frames_combo,strehl_std_combo,strehl_med_combo,strehl_mad_combo,fwhm_mean_combo,fwhm_std_combo,fwhm_med_combo,fwhm_mad_combo,weighted_DIMM,weighted_MASS,legacy_num_detections,single_num_detections,legacy_num_central_detections,single_num_central_detections,legacy_num_bright_detections,single_num_bright_detections,legacy_stf_x_err_pix_median,single_stf_x_err_pix_median,legacy_stf_x_err_pix_median_abs_dev,single_stf_x_err_pix_median_abs_dev,legacy_stf_y_err_pix_median,single_stf_y_err_pix_median,legacy_stf_y_err_pix_median_abs_dev,single_stf_y_err_pix_median_abs_dev,legacy_align_x_err_mas_median,single_align_x_err_mas_median,legacy_align_x_err_mas_median_abs_dev,single_align_x_err_mas_median_abs_dev,legacy_align_y_err_mas_median,single_align_y_err_mas_median,legacy_align_y_err_mas_median_abs_dev,single_align_y_err_mas_median_abs_dev,legacy_stf_mag_err_median,single_stf_mag_err_median,legacy_stf_mag_err_median_abs_dev,single_stf_mag_err_median_abs_dev,legacy_stf_bright_x_err_pix_median,single_stf_bright_x_err_pix_median,legacy_stf_bright_x_err_pix_median_abs_dev,single_stf_bright_x_err_pix_median_abs_dev,legacy_stf_bright_y_err_pix_median,single_stf_bright_y_err_pix_median,legacy_stf_bright_y_err_pix_median_abs_dev,single_stf_bright_y_err_pix_median_abs_dev,legacy_align_bright_x_err_mas_median,single_align_bright_x_err_mas_median,legacy_align_bright_x_err_mas_median_abs_dev,single_align_bright_x_err_mas_median_abs_dev,legacy_align_bright_y_err_mas_median,single_align_bright_y_err_mas_median,legacy_align_bright_y_err_mas_median_abs_dev,single_align_bright_y_err_mas_median_abs_dev,legacy_align_central_x_err_mas_median,single_align_central_x_err_mas_median,legacy_align_central_y_err_mas_median,single_align_central_y_err_mas_median,legacy_align_central_x_err_mas_median_abs_dev,single_align_central_x_err_mas_median_abs_dev,legacy_align_central_y_err_mas_median_abs_dev,single_align_central_y_err_mas_median_abs_dev,legacy_stf_bright_mag_err_median,single_stf_bright_mag_err_median,legacy_stf_bright_mag_err_median_abs_dev,single_stf_bright_mag_err_median_abs_dev
0,20060503nirc2,127.0,0.35502,0.37794,0.0692,0.368,0.041,60.18102,7.57587,58.05,2.57,107.0,0.04329,0.38,0.03,57.44196,2.92954,57.22,1.87,-1.0,-1.0,845.0,1530.0,4.0,38.0,246.0,245.0,0.032,0.052,0.023,0.043,0.036,0.066,0.026,0.053,0.32,0.52,0.23,0.43,0.36,0.66,0.26,0.53,0.026,0.024,0.0,0.0,0.011,0.007,0.004,0.003,0.013,0.009,0.008,0.005,0.11,0.07,0.04,0.03,0.13,0.09,0.08,0.05,0.105,0.11,0.075,0.11,0.015,0.06,0.02,0.08,0.026,0.024,0.0,0.0
1,20060521nirc2,9.0,0.27056,0.28,0.05308,0.261,0.053,67.70889,8.03946,66.51,3.74,8.0,0.04583,0.275,0.035,65.26625,4.36047,65.9,4.11,-1.0,-1.0,461.0,564.0,2.0,13.0,178.0,181.0,0.074,0.062,0.038,0.031,0.077,0.07,0.044,0.041,0.74,0.62,0.38,0.31,0.77,0.7,0.43,0.405,0.044,0.043,0.0,0.0,0.05,0.039,0.022,0.016,0.043,0.034,0.023,0.017,0.495,0.39,0.225,0.16,0.43,0.34,0.23,0.17,0.5,0.32,0.295,0.32,0.27,0.15,0.215,0.16,0.044,0.043,0.0,0.0
2,20060620_0621nirc2,289.0,0.31313,0.38821,0.09424,0.331,0.078,66.08104,12.15896,61.08,6.34,156.0,0.04401,0.38,0.03,56.86141,2.78073,56.95,1.9,-1.0,-1.0,1156.0,1761.0,10.0,30.0,236.0,238.0,0.055,0.073,0.045,0.06,0.065,0.089,0.053,0.074,0.55,0.73,0.45,0.6,0.65,0.89,0.53,0.74,0.021,0.042,0.0,0.0,0.009,0.009,0.005,0.003,0.008,0.009,0.005,0.004,0.09,0.09,0.05,0.03,0.08,0.09,0.05,0.04,0.04,0.155,0.035,0.185,0.01,0.095,0.01,0.125,0.021,0.042,0.0,0.0
3,20060620nirc2,125.0,0.25268,0.32827,0.07654,0.242,0.059,72.84056,12.81097,71.57,9.58,52.0,0.03827,0.34,0.03,60.825,3.79023,59.805,2.62,-1.0,-1.0,1253.0,1337.0,15.0,8.0,229.0,233.0,0.036,0.036,0.028,0.028,0.043,0.042,0.031,0.032,0.36,0.36,0.28,0.28,0.43,0.42,0.31,0.32,0.029,0.029,0.0,0.0,0.007,0.007,0.003,0.003,0.012,0.01,0.005,0.004,0.07,0.07,0.03,0.03,0.12,0.1,0.05,0.04,0.08,0.11,0.12,0.09,0.03,0.035,0.04,0.01,0.029,0.029,0.0,0.0
4,20060621nirc2,164.0,0.35921,0.40143,0.07922,0.379,0.0435,60.92896,8.60592,57.51,3.065,119.0,0.03946,0.4,0.03,56.27336,2.71455,56.09,1.66,-1.0,-1.0,1176.0,1477.0,11.0,17.0,235.0,235.0,0.031,0.063,0.025,0.051,0.037,0.081,0.028,0.065,0.31,0.63,0.25,0.51,0.37,0.81,0.28,0.65,0.022,0.038,0.0,0.0,0.005,0.008,0.003,0.004,0.01,0.012,0.004,0.004,0.05,0.08,0.03,0.04,0.1,0.12,0.04,0.04,0.05,0.11,0.15,0.1,0.03,0.07,0.07,0.03,0.022,0.038,0.0,0.0
5,20060717nirc2,70.0,0.38371,0.395,0.05726,0.3875,0.0375,58.85457,5.62083,57.77,2.96,64.0,0.04341,0.395,0.035,57.48859,3.34069,57.395,2.7,-1.0,-1.0,999.0,1430.0,7.0,24.0,239.0,234.0,0.048,0.076,0.038,0.059,0.054,0.098,0.041,0.075,0.48,0.76,0.38,0.59,0.54,0.98,0.41,0.75,0.026,0.035,0.0,0.0,0.01,0.013,0.005,0.004,0.013,0.015,0.007,0.006,0.1,0.13,0.05,0.04,0.13,0.15,0.07,0.055,0.06,0.115,0.07,0.14,0.02,0.035,0.01,0.055,0.026,0.035,0.0,0.0
6,20070517nirc2,101.0,0.33637,0.38289,0.09569,0.364,0.059,63.71059,10.61931,59.09,3.56,76.0,0.05101,0.39,0.035,58.28474,3.29302,57.625,1.93,-1.0,-1.0,1795.0,1799.0,23.0,8.0,232.0,233.0,0.06,0.078,0.046,0.064,0.069,0.098,0.057,0.082,0.6,0.78,0.46,0.63,0.69,0.98,0.56,0.82,0.05,0.065,0.0,0.0,0.013,0.011,0.002,0.003,0.011,0.012,0.003,0.004,0.13,0.11,0.02,0.03,0.11,0.12,0.03,0.04,0.12,0.125,0.13,0.08,0.02,0.035,0.02,0.04,0.05,0.065,0.0,0.0
7,20070810_0812nirc2,139.0,0.27124,0.337,0.0917,0.261,0.082,64.45381,9.48889,62.81,7.08,80.0,0.05758,0.34,0.04,57.61913,3.62897,57.08,3.18,-1.0,-1.0,818.0,1548.0,3.0,46.0,237.0,235.0,0.034,0.058,0.024,0.045,0.034,0.06,0.024,0.05,0.34,0.58,0.24,0.45,0.34,0.6,0.24,0.5,0.031,0.03,0.0,0.0,0.012,0.012,0.006,0.002,0.011,0.007,0.006,0.003,0.12,0.12,0.06,0.02,0.11,0.07,0.06,0.03,0.05,0.165,0.05,0.115,0.01,0.065,0.01,0.065,0.031,0.03,0.0,0.0
8,20070810nirc2,79.0,0.2099,0.25833,0.0581,0.205,0.045,69.48658,8.37671,68.69,5.56,36.0,0.04356,0.255,0.035,62.48944,3.46194,63.045,2.755,-1.0,-1.0,1036.0,1124.0,9.0,8.0,236.0,234.0,0.034,0.036,0.022,0.024,0.034,0.036,0.026,0.029,0.335,0.365,0.215,0.235,0.34,0.36,0.26,0.29,0.023,0.027,0.0,0.0,0.014,0.015,0.006,0.005,0.007,0.007,0.003,0.003,0.14,0.155,0.06,0.045,0.07,0.07,0.03,0.035,0.12,0.15,0.1,0.135,0.07,0.07,0.06,0.07,0.023,0.027,0.0,0.0
9,20070812nirc2,60.0,0.352,0.36722,0.05965,0.3575,0.025,57.82733,6.24029,55.74,2.11,54.0,0.03851,0.36,0.02,56.035,2.87658,55.335,1.75,-1.0,-1.0,867.0,804.0,15.0,4.0,243.0,229.0,0.035,0.092,0.026,0.071,0.031,0.111,0.022,0.088,0.35,0.92,0.26,0.71,0.31,1.1,0.22,0.87,0.031,0.035,0.0,0.0,0.011,0.023,0.005,0.012,0.011,0.024,0.006,0.016,0.11,0.23,0.05,0.12,0.11,0.24,0.06,0.16,0.11,0.17,0.11,0.085,0.03,0.045,0.05,0.02,0.031,0.035,0.0,0.0
10,20080515nirc2,138.0,0.31686,0.31933,0.05651,0.3075,0.034,53.43196,2.72818,53.095,1.565,135.0,0.05558,0.31,0.03,53.19615,2.2244,52.94,1.52,-1.0,-1.0,877.0,1508.0,1.0,32.0,237.0,229.0,0.027,0.057,0.02,0.046,0.028,0.064,0.021,0.051,0.27,0.57,0.2,0.46,0.28,0.64,0.21,0.51,0.041,0.027,0.0,0.0,0.008,0.008,0.003,0.003,0.008,0.01,0.004,0.003,0.08,0.08,0.03,0.03,0.08,0.1,0.04,0.03,0.21,0.1,0.49,0.125,0.0,0.04,0.0,0.06,0.041,0.027,0.0,0.0
11,20080724nirc2,179.0,0.30998,0.35865,0.07185,0.316,0.051,65.13587,10.40449,62.66,6.35,104.0,0.04225,0.355,0.03,58.33577,3.28911,58.295,2.84,-1.0,-1.0,1307.0,1054.0,24.0,1.0,234.0,231.0,0.044,0.083,0.031,0.066,0.054,0.102,0.044,0.079,0.44,0.825,0.31,0.655,0.54,1.005,0.44,0.775,0.022,0.022,0.0,0.0,0.013,0.014,0.003,0.008,0.008,0.017,0.004,0.009,0.13,0.14,0.03,0.08,0.08,0.17,0.04,0.09,0.125,0.07,0.07,0.09,0.025,0.0,0.035,0.0,0.022,0.022,0.0,0.0
12,20090501_0504nirc2,311.0,0.35026,0.41238,0.0745,0.345,0.054,63.19161,7.61261,62.75,5.41,151.0,0.04727,0.4,0.03,56.90179,3.548,57.5,2.91,-1.0,-1.0,1489.0,1731.0,8.0,18.0,236.0,239.0,0.037,0.052,0.03,0.042,0.041,0.063,0.033,0.052,0.37,0.52,0.3,0.42,0.41,0.63,0.33,0.52,0.014,0.014,0.0,0.0,0.007,0.008,0.003,0.003,0.008,0.008,0.003,0.002,0.07,0.08,0.03,0.03,0.08,0.08,0.03,0.02,0.06,0.08,0.07,0.09,0.01,0.03,0.01,0.03,0.014,0.014,0.0,0.0
13,20090501nirc2,200.0,0.31548,0.34421,0.05557,0.3135,0.0385,66.77655,6.34176,66.275,4.29,133.0,0.03976,0.34,0.03,63.2415,3.39281,63.22,2.83,-1.0,-1.0,1303.0,1562.0,4.0,20.0,239.0,240.0,0.037,0.024,0.028,0.02,0.036,0.029,0.029,0.021,0.37,0.24,0.28,0.2,0.36,0.295,0.29,0.215,0.017,0.015,0.0,0.0,0.009,0.005,0.002,0.002,0.008,0.009,0.004,0.001,0.09,0.05,0.02,0.02,0.08,0.09,0.04,0.01,0.075,0.045,0.075,0.09,0.005,0.015,0.025,0.02,0.017,0.015,0.0,0.0
14,20090502nirc2,54.0,0.37448,0.3849,0.05338,0.3825,0.0415,59.61778,4.9782,58.295,3.355,49.0,0.0445,0.39,0.03,58.53,3.70976,57.7,2.8,-1.0,-1.0,1188.0,1386.0,2.0,13.0,242.0,241.0,0.036,0.048,0.024,0.035,0.038,0.052,0.027,0.039,0.36,0.48,0.24,0.35,0.38,0.52,0.27,0.395,0.022,0.018,0.0,0.0,0.013,0.012,0.005,0.005,0.012,0.012,0.005,0.004,0.135,0.12,0.055,0.05,0.12,0.12,0.05,0.04,0.095,0.09,0.045,0.11,0.005,0.06,0.025,0.02,0.022,0.018,0.0,0.0
15,20090504nirc2,57.0,0.44939,0.45214,0.04599,0.453,0.029,53.9986,3.14551,53.13,1.75,56.0,0.04225,0.455,0.025,53.77589,2.69145,53.09,1.705,-1.0,-1.0,1386.0,1417.0,10.0,6.0,230.0,230.0,0.034,0.068,0.027,0.054,0.036,0.074,0.029,0.06,0.34,0.68,0.27,0.54,0.36,0.74,0.29,0.6,0.014,0.025,0.0,0.0,0.006,0.009,0.002,0.004,0.007,0.01,0.003,0.005,0.06,0.085,0.02,0.045,0.07,0.1,0.03,0.05,0.05,0.04,0.075,0.06,0.015,0.01,0.025,0.015,0.014,0.025,0.0,0.0
16,20090722_0724nirc2,184.0,0.24509,0.29451,0.05729,0.241,0.043,69.05353,9.16155,67.82,6.14,82.0,0.0369,0.29,0.02,61.19524,3.21088,61.295,2.67,-1.0,-1.0,1253.0,1280.0,14.0,9.0,234.0,230.0,0.039,0.047,0.03,0.038,0.051,0.062,0.035,0.049,0.39,0.47,0.3,0.38,0.51,0.62,0.35,0.49,0.024,0.023,0.0,0.0,0.008,0.007,0.004,0.003,0.018,0.01,0.005,0.004,0.08,0.07,0.045,0.03,0.18,0.1,0.05,0.04,0.05,0.05,0.13,0.07,0.01,0.01,0.03,0.01,0.024,0.023,0.0,0.0
17,20090722nirc2,34.0,0.21674,0.22448,0.03223,0.2185,0.022,75.80059,6.21836,75.45,3.86,29.0,0.02513,0.23,0.02,73.89552,4.3367,73.41,3.1,-1.0,-1.0,654.0,750.0,4.0,11.0,216.0,213.0,0.062,0.054,0.041,0.035,0.07,0.063,0.053,0.048,0.625,0.54,0.405,0.35,0.7,0.63,0.53,0.48,0.033,0.03,0.0,0.0,0.026,0.021,0.013,0.009,0.019,0.015,0.011,0.007,0.26,0.21,0.13,0.09,0.19,0.15,0.115,0.07,0.245,0.13,0.12,0.11,0.095,0.05,0.045,0.03,0.033,0.03,0.0,0.0
18,20090724nirc2,150.0,0.25151,0.29595,0.05973,0.2545,0.042,67.5242,9.02978,65.57,5.395,79.0,0.03665,0.29,0.02,61.02203,3.1394,60.94,2.65,-1.0,-1.0,1334.0,1377.0,11.0,8.0,235.0,231.0,0.04,0.053,0.031,0.043,0.048,0.067,0.036,0.053,0.4,0.53,0.31,0.43,0.48,0.67,0.36,0.53,0.025,0.023,0.0,0.0,0.009,0.008,0.004,0.004,0.012,0.012,0.005,0.003,0.09,0.08,0.04,0.04,0.12,0.12,0.05,0.03,0.07,0.055,0.07,0.1,0.03,0.005,0.03,0.015,0.025,0.023,0.0,0.0
19,20090909nirc2,55.0,0.33222,0.37114,0.10002,0.342,0.058,66.76182,23.84686,61.29,4.75,44.0,0.05254,0.38,0.04,59.74045,4.15177,58.14,3.185,-1.0,-1.0,1347.0,1338.0,10.0,13.0,237.0,238.0,0.043,0.07,0.033,0.052,0.049,0.078,0.034,0.055,0.43,0.7,0.33,0.52,0.49,0.78,0.34,0.545,0.034,0.048,0.0,0.0,0.011,0.018,0.005,0.005,0.015,0.022,0.007,0.008,0.11,0.18,0.05,0.05,0.15,0.22,0.07,0.075,0.155,0.16,0.145,0.16,0.065,0.02,0.065,0.03,0.034,0.048,0.0,0.0
20,20100504_0505nirc2,219.0,0.30285,0.34082,0.07345,0.327,0.038,67.22712,12.30938,62.68,3.68,158.0,0.03495,0.34,0.02,61.22911,3.02604,60.91,2.13,0.6922838628443755,0.1711718266096632,1292.0,1102.0,22.0,4.0,237.0,242.0,0.039,0.07,0.028,0.056,0.043,0.086,0.032,0.067,0.39,0.695,0.28,0.555,0.43,0.86,0.315,0.67,0.032,0.036,0.0,0.0,0.012,0.012,0.003,0.006,0.012,0.015,0.003,0.006,0.12,0.12,0.03,0.06,0.12,0.15,0.03,0.06,0.135,0.07,0.11,0.11,0.025,0.025,0.025,0.03,0.032,0.036,0.0,0.0
21,20100504nirc2,140.0,0.2932,0.32991,0.07571,0.318,0.0385,69.16707,13.68114,63.925,3.89,106.0,0.03617,0.33,0.02,62.74302,3.2104,62.45,2.46,0.7417789635454418,0.1698479818589633,1247.0,1283.0,11.0,9.0,234.0,237.0,0.032,0.048,0.024,0.039,0.035,0.056,0.028,0.046,0.32,0.48,0.24,0.39,0.35,0.56,0.28,0.46,0.033,0.038,0.0,0.0,0.009,0.006,0.003,0.003,0.007,0.007,0.004,0.003,0.085,0.06,0.025,0.03,0.07,0.07,0.04,0.03,0.07,0.05,0.06,0.07,0.01,0.02,0.02,0.04,0.033,0.038,0.0,0.0
22,20100505nirc2,79.0,0.31996,0.35167,0.06589,0.342,0.034,63.78924,8.35765,60.64,2.85,60.0,0.03484,0.355,0.025,59.56033,2.59363,59.7,1.85,0.624039328976986,0.1743596154762864,1316.0,1314.0,17.0,7.0,240.0,241.0,0.039,0.075,0.03,0.062,0.041,0.074,0.032,0.06,0.39,0.75,0.3,0.61,0.41,0.74,0.32,0.6,0.027,0.034,0.0,0.0,0.009,0.011,0.003,0.005,0.008,0.01,0.004,0.006,0.09,0.11,0.03,0.05,0.08,0.1,0.04,0.06,0.08,0.07,0.07,0.03,0.02,0.01,0.02,0.02,0.027,0.034,0.0,0.0
23,20100706nirc2,136.0,0.32401,0.339,0.0467,0.33,0.03,62.83743,5.41844,61.86,3.09,110.0,0.03593,0.34,0.02,60.88136,3.20206,60.62,2.265,0.5388329018677726,0.2541367790749492,1276.0,1248.0,14.0,6.0,242.0,242.0,0.043,0.069,0.035,0.054,0.051,0.084,0.038,0.064,0.435,0.69,0.35,0.54,0.515,0.84,0.385,0.64,0.039,0.042,0.0,0.0,0.008,0.009,0.005,0.005,0.014,0.016,0.006,0.006,0.08,0.09,0.05,0.05,0.14,0.16,0.06,0.06,0.055,0.09,0.13,0.1,0.04,0.02,0.03,0.015,0.039,0.042,0.0,0.0
24,20100815nirc2,143.0,0.30546,0.31543,0.04182,0.318,0.024,59.90378,4.5672,58.64,2.48,127.0,0.03296,0.32,0.02,58.68291,3.09117,58.36,2.2,0.4587708304920143,0.14844780227524,1155.0,1120.0,14.0,7.0,237.0,240.0,0.038,0.06,0.029,0.048,0.04,0.073,0.03,0.058,0.38,0.605,0.29,0.465,0.4,0.73,0.3,0.58,0.04,0.045,0.0,0.0,0.01,0.01,0.003,0.005,0.01,0.012,0.004,0.006,0.1,0.105,0.03,0.045,0.1,0.12,0.04,0.06,0.115,0.08,0.105,0.06,0.045,0.04,0.045,0.03,0.04,0.045,0.0,0.0
25,20110527nirc2,164.0,0.27618,0.30735,0.06345,0.282,0.0495,69.77189,10.95973,66.11,5.45,117.0,0.04125,0.31,0.03,64.37581,4.14768,63.89,3.09,-1.0,-1.0,1078.0,949.0,15.0,4.0,247.0,245.0,0.039,0.077,0.028,0.061,0.039,0.086,0.028,0.066,0.39,0.77,0.28,0.61,0.39,0.86,0.28,0.65,0.029,0.026,0.0,0.0,0.012,0.013,0.004,0.009,0.011,0.017,0.005,0.01,0.12,0.13,0.04,0.09,0.11,0.17,0.05,0.1,0.1,0.065,0.08,0.13,0.03,0.005,0.02,0.065,0.029,0.026,0.0,0.0
26,20110718nirc2,212.0,0.28064,0.29799,0.0476,0.2815,0.0285,60.63835,6.90817,59.385,3.59,164.0,0.03124,0.3,0.02,57.96415,3.30437,57.87,2.535,0.695707492543437,0.1421488966374132,1233.0,1280.0,10.0,11.0,242.0,243.0,0.033,0.062,0.026,0.05,0.045,0.08,0.035,0.066,0.33,0.62,0.26,0.5,0.45,0.8,0.35,0.66,0.028,0.031,0.0,0.0,0.007,0.009,0.004,0.005,0.011,0.01,0.005,0.006,0.07,0.09,0.04,0.05,0.11,0.1,0.05,0.06,0.045,0.06,0.08,0.08,0.015,0.04,0.01,0.05,0.028,0.031,0.0,0.0
27,20110823_0824nirc2,218.0,0.35001,0.35863,0.04753,0.3515,0.0335,61.04289,4.07396,60.595,2.745,197.0,0.04189,0.36,0.03,60.17985,3.17899,60.12,2.43,0.6519003686574494,0.2407729290859551,1557.0,1775.0,19.0,25.0,241.0,242.0,0.048,0.061,0.038,0.051,0.049,0.067,0.038,0.057,0.48,0.61,0.38,0.51,0.49,0.67,0.38,0.56,0.02,0.025,0.0,0.0,0.01,0.008,0.002,0.002,0.011,0.007,0.003,0.002,0.1,0.08,0.02,0.02,0.11,0.07,0.03,0.02,0.09,0.08,0.1,0.06,0.02,0.02,0.02,0.02,0.02,0.025,0.0,0.0
28,20110823nirc2,108.0,0.37574,0.38127,0.04176,0.3795,0.0255,60.11185,4.18635,59.465,2.77,102.0,0.03728,0.38,0.02,59.51167,3.37096,59.225,2.565,0.7272241533246484,0.2530840696171,1583.0,1718.0,18.0,17.0,241.0,246.0,0.047,0.06,0.036,0.05,0.05,0.067,0.037,0.056,0.47,0.605,0.36,0.505,0.5,0.665,0.37,0.555,0.02,0.025,0.0,0.0,0.012,0.009,0.003,0.004,0.014,0.007,0.003,0.004,0.12,0.09,0.03,0.035,0.14,0.07,0.03,0.04,0.115,0.08,0.13,0.06,0.035,0.03,0.025,0.03,0.02,0.025,0.0,0.0
29,20110824nirc2,110.0,0.32475,0.32951,0.03844,0.3275,0.028,61.957,3.74154,61.585,2.635,102.0,0.03563,0.33,0.025,61.35784,3.18039,61.465,2.35,0.5564914991756754,0.2239394507724861,1348.0,1223.0,15.0,9.0,239.0,244.0,0.042,0.059,0.032,0.047,0.05,0.068,0.041,0.052,0.42,0.59,0.32,0.47,0.5,0.68,0.415,0.52,0.025,0.03,0.0,0.0,0.01,0.01,0.003,0.004,0.008,0.011,0.003,0.006,0.1,0.1,0.03,0.04,0.08,0.115,0.03,0.065,0.09,0.06,0.09,0.06,0.03,0.01,0.04,0.01,0.025,0.03,0.0,0.0
30,20120515_0518nirc2,290.0,0.31048,0.3352,0.05028,0.311,0.035,62.70417,6.30583,61.465,4.06,202.0,0.03589,0.33,0.03,59.33564,2.96266,59.61,2.365,-1.0,-1.0,1406.0,1228.0,20.0,4.0,242.0,241.0,0.034,0.081,0.028,0.064,0.04,0.092,0.032,0.074,0.34,0.81,0.28,0.63,0.4,0.92,0.32,0.74,0.025,0.038,0.0,0.0,0.005,0.013,0.002,0.004,0.007,0.015,0.003,0.007,0.055,0.13,0.015,0.04,0.07,0.15,0.03,0.07,0.04,0.155,0.075,0.13,0.01,0.03,0.035,0.05,0.025,0.038,0.0,0.0
